case_id,display_case,domain,regime,epochs,h32_none,h32_graph,h32_permuted,h32_temporal,graph_gain_vs_none_pct,true_vs_permuted_gain_pct,graph_vs_temporal_gain_pct,protocol_label,recommendation,source_files
ho_lattice,HO lattice,HO,controlled positive case,5,1.084877282,1.013924420,1.067758073,,6.540174,5.041746,,topology_aligned_latent_smoothing,Carry graph prior forward under tested high-weight condition with audit support,analysis_out/preflight_runs/ho_lattice/preflight_report.md; analysis_out/preflight_runs/ho_lattice/summary.csv; analysis_out/CYCLE8_CHECKPOINTED_LATENT_ALIGNMENT_REPORT.md
graph_heat_lattice,Graph heat lattice,graph_heat,true generator graph cautionary case,5,0.603606408,0.690180494,0.605792252,,-14.342804,-13.930228,,no_prior_gain,Skip graph prior under tested latent model condition,analysis_out/preflight_runs/graph_heat_lattice/preflight_report.md; analysis_out/preflight_runs/graph_heat_lattice/FAILURE_AUDIT.md
graph_lowfreq_lattice,Graph low-frequency lattice,graph_lowfreq,synthetic alignment stress test,5; analysis 20/50,0.720953047,0.691928217,0.670256987,,4.025897,-3.233272,,graph_generic_smoothing,Treat quick gain as smoothing-like unless later-budget/audit evidence is foregrounded,analysis_out/preflight_runs/graph_lowfreq_lattice/preflight_report.md; analysis_out/preflight_runs/graph_lowfreq_lattice/FAILURE_ANALYSIS.md
spring_mass_lattice_ep5_temporal_calibrated,Spring-mass quick + temporal,spring_mass,second-order mechanics prior-family check,5,0.686394960,0.573987776,0.576864082,0.568899017,16.376458,0.498087,-0.894493,temporal_smoothing_sufficient,Prefer calibrated temporal smoothing unless topology attribution is the target,analysis_out/preflight_runs/spring_mass_lattice_ep5_temporal_calibrated/preflight_report.md; analysis_out/preflight_runs/spring_mass_lattice_ep5_temporal_calibrated/summary.csv
spring_mass_lattice_ep20,Spring-mass standard,spring_mass,second-order mechanics persistence check,20,0.080920761,0.104796463,0.123826402,,-29.505038,15.368240,,low_budget_only,Do not treat the quick graph gain as persistent at standard budget,analysis_out/preflight_runs/spring_mass_lattice_ep20/preflight_report.md; analysis_out/preflight_runs/spring_mass_lattice_ep20/summary.csv
graph_wave_lattice_ep5_temporal_calibrated,Graph-wave quick + temporal,graph_wave,PDE-like wave prior-family check,5,0.682496013,0.571246240,0.571113905,0.566252876,16.300423,-0.023172,-0.881826,temporal_smoothing_sufficient,Prefer calibrated temporal smoothing; graph gain is smoothness-like,analysis_out/preflight_runs/graph_wave_lattice_ep5_temporal_calibrated/preflight_report.md; analysis_out/preflight_runs/graph_wave_lattice_ep5_temporal_calibrated/summary.csv
graph_wave_lattice_ep20,Graph-wave standard,graph_wave,PDE-like wave persistence check,20,0.082616677,0.095294085,0.102072082,,-15.344854,6.640402,,low_budget_only,Do not treat the quick graph gain as persistent at standard budget,analysis_out/preflight_runs/graph_wave_lattice_ep20/preflight_report.md; analysis_out/preflight_runs/graph_wave_lattice_ep20/summary.csv
nbody_distance_ep5_temporal_calibrated,N-body quick + temporal,nbody_distance,long-range particle prior-family check,5,0.821576245,0.543263707,0.583762405,0.645320639,33.875433,6.936842,15.814918,candidate_topology_specific,Carry graph prior forward with additional seeds and audit before stronger claims,analysis_out/preflight_runs/nbody_distance_ep5_temporal_calibrated/preflight_report.md; analysis_out/preflight_runs/nbody_distance_ep5_temporal_calibrated/summary.csv
nbody_distance_ep20,N-body standard,nbody_distance,long-range particle persistence check,20,0.156126955,0.113463236,0.089003972,,27.326299,-27.481092,,graph_generic_smoothing,Graph beats none but loses to spectrum-matched smoothing control,analysis_out/preflight_runs/nbody_distance_ep20/preflight_report.md; analysis_out/preflight_runs/nbody_distance_ep20/summary.csv
metr_la_corr_T2000_train160,METR-LA correlation,traffic,real data-derived graph case,5,0.406829683,0.446130329,0.433669474,,-9.660221,-2.873353,,no_prior_gain,Skip this correlation graph prior under tested condition,analysis_out/preflight_runs/metr_la_corr_T2000_train160/preflight_report.md; analysis_out/preflight_runs/metr_la_corr_T2000_train160/summary.csv
