source_file,experiment_name,status,completed,expected,observed,missing,notes
rmd17_aspirin_10seed_results.json,rmd17_aspirin_10seed,complete,true,150,150,,"expected 3 priors x 10 seeds x 5 horizons; checked by (prior, seed, horizon)"
rmd17_aspirin_10seed_results.pre_restart_20260422_214952.json,rmd17_aspirin_10seed,duplicate_snapshot,false,,150,,archival snapshot; excluded from aggregate conclusions
rmd17_aspirin_10seed_results.pre_restart_20260422_214952.json,rmd17_aspirin_10seed,incomplete,false,150,125,"('spectral', 5, 1);('spectral', 5, 2);('spectral', 5, 4);('spectral', 5, 8);('spectral', 5, 16);('spectral', 6, 1);('spectral', 6, 2);('spectral', 6, 4);('spectral', 6, 8);('spectral', 6, 16);('spectral', 7, 1);('spectral', 7, 2);('spectral', 7, 4);('spectral', 7, 8);('spectral', 7, 16);('spectral', 8, 1);('spectral', 8, 2);('spectral', 8, 4);('spectral', 8, 8);('spectral', 8, 16);('spectral', 9, 1);('spectral', 9, 2);('spectral', 9, 4);('spectral', 9, 8);('spectral', 9, 16)","expected 3 priors x 10 seeds x 5 horizons; checked by (prior, seed, horizon)"
rmd17_aspirin_10seed_results.pre_resume_20260422_221851.json,rmd17_aspirin_10seed,duplicate_snapshot,false,,150,,archival snapshot; excluded from aggregate conclusions
rmd17_aspirin_10seed_results.pre_resume_20260422_221851.json,rmd17_aspirin_10seed,incomplete,false,150,125,"('spectral', 5, 1);('spectral', 5, 2);('spectral', 5, 4);('spectral', 5, 8);('spectral', 5, 16);('spectral', 6, 1);('spectral', 6, 2);('spectral', 6, 4);('spectral', 6, 8);('spectral', 6, 16);('spectral', 7, 1);('spectral', 7, 2);('spectral', 7, 4);('spectral', 7, 8);('spectral', 7, 16);('spectral', 8, 1);('spectral', 8, 2);('spectral', 8, 4);('spectral', 8, 8);('spectral', 8, 16);('spectral', 9, 1);('spectral', 9, 2);('spectral', 9, 4);('spectral', 9, 8);('spectral', 9, 16)","expected 3 priors x 10 seeds x 5 horizons; checked by (prior, seed, horizon)"
rmd17_aspirin_laplacian_ablation.json,rmd17_laplacian_ablation,complete,true,75,75,,"expected 3 Laplacian modes x 5 seeds x 5 horizons; checked by (laplacian_mode, seed, horizon)"
rmd17_aspirin_weight_sweep.json,rmd17_weight_sweep,complete,true,180,180,,"expected 3 priors x 4 weights x 3 seeds x 5 horizons; checked by (prior, prior_weight, seed, horizon)"
validation_10seed_flat_200ep.json,wolfram_flat_200ep_3seed_snapshot,duplicate_snapshot,false,,45,,archival snapshot; excluded from aggregate conclusions
validation_wolfram_flat_10seed_200ep.json,wolfram_flat_10seed_200ep,complete,true,150,150,,"expected 3 priors x 10 seeds x 5 horizons; checked by (prior, seed, horizon)"
validation_wolfram_flat_10seed_200ep.pre_restart_20260422_214952.json,wolfram_flat_10seed_200ep,duplicate_snapshot,false,,30,,archival snapshot; excluded from aggregate conclusions
